OPM OCCUPATION TITLE ,FedSec Occ Group(9),SOC CODE,CENS CODE,CENSUS OCCUPATION TITLE
CORRECTIONAL INSTTUTION ADMINISTRATION,9,33-1011,3700,FIRST-LINE SUPERVISORS OF CORRECTIONAL OFFICERS
CORRECTIONAL OFFICER,9,33-3010,3800,"BAILIFFS, CORRECTIONAL OFFICERS, & JAILERS"
BOND SALES PROMOTION ,4,41-3031,4820,"SECURITIES, COMMODITIES, & FINANCIAL SERVICES SALES AGENTS"
EXPLOSIVES SAFETY ,6,47-5031,6830,"EXPLOSIVES WORKERS, ORDNANCE HANDLING EXPERTS, & BLASTERS"
SAFETY & OCCUPATIONAL HEALTH MANAGEMENT,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
SAFETY TECHNICIAN,3,29-9000,3540,OTHER HEALTHCARE PRACTITIONERS & TECHNICAL OCCUPATIONS
COMMUNITY PLANNING,2,19-3051,1840,URBAN & REGIONAL PLANNERS
COMMUNITY PLANNING TECHNICIAN,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
OUTDOOR RECREATION PLANNING,9,39-9030,4620,RECREATION & FITNESS WORKERS
PARK RANGER,9,33-909X,3955,LIFEGUARDS & OTHER  PROTECTIVE SERVICE WORKERS
ENVIRONMENTAL PROTECTION SPECIALIST ,2,19-2040,1740,ENVIRONMENTAL SCIENTISTS & GEOSCIENTISTS
ENVIRONMENTAL PROTECTION ASSISTANT ,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
SPORTS SPECIALIST,2,27-2020,2720,"ATHLETES, COACHES, UMPIRES & RELATED WORKERS"
FUNERAL DIRECTING,1,11-9XXX,430,"MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE MANAGERS & POSTMASTERS"
CHAPLAIN,2,21-2011,2040,CLERGY
CLOTHING DESIGN ,2,27-1020,2630,DESIGNERS
FINGERPRING IDENTIFICATION ,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
SECURITY ADMINISTRATION,1,13-11XX,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
FIRE PROTECTION & PREVENTION,9,33-2011,3740,FIRE FIGHTERS
UNITED STATES MARSHAL ,9,33-3021,3820,DETECTIVES & CRIMINAL INVESTIGATORS
POLICE ,9,33-3050,3850,POLICE OFFICERS
NUCLEAR MATERIALS COURIER,6,47-4041,6720,HAZARDOUS MATERIALS REMOVAL WORKERS
SECURITY GUARD ,9,33-9030,3930,SECURITY GUARDS & GAMING SURVEILLANCE OFFICERS
SECURITY CLERICAL & ASSISTANCE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
EMERGENCY MANAGEMENT,1,11-9161,425,EMERGENCY MANAGEMENT DIRECTORS
GUIDE,9,39-7010,4540,TOUR & TRAVEL GUIDES
FOREIGN LAW SPECIALIST ,5,23-2090,2160,MISCELLANEOUS LEGAL SUPPORT WORKERS
GENERAL STUDENT TRAINEE,5,43-9XXX,5940,"MISCELLANEOUS OFFICE & ADMINISTRATIVE SUPPORT WORKERS, INCLUDING DESKTOP PUBLISHERS"
SOCIAL SCIENCE ,2,19-30XX,1860,"MISCELLANEOUS SOCIAL SCIENTISTS, INCLUDING SOCIOLOGISTS"
SOCIAL SCIENCE AID & TECHNICIAN,3,19-40YY,1965,"MISCELLANEOUS LIFE, PHYSICAL, & SOCIAL SCIENCE TECHNICIANS"
SOCIAL INSURANCE ADMINISTRATION ,1,13-1030,540,"CLAIMS ADJUSTERS, APPRAISERS, EXAMINERS, & INVESTIGATORS"
UNEMPLOYMENT INSURANCE ,1,13-1199,740,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER"
HEALTH INSURANCE ADMINISTRATION,1,13-1111,710,MANAGEMENT ANALYSTS
ECONOMIST,2,19-3011,1800,ECONOMISTS
